games,year,Name,Team,Week,Opponent,tar,rec,yds,td,fum,def_rk,h/a_1,surface_0,salary,points
4,2017,Austin Traylor,DEN,16,WAS,2,1,14,0,0,28,0.0,1.0,2500,2.4
1,2016,Ben Braunecker,CHI,8,MIN,1,1,8,0,0,11,1.0,1.0,3100,1.8
2,2016,Ben Braunecker,CHI,12,TEN,2,1,14,0,0,15,1.0,1.0,2700,2.4
3,2016,Ben Braunecker,CHI,16,WAS,3,2,19,0,0,29,1.0,1.0,2500,3.9
1,2016,Ben Koyack,JAX,8,TEN,5,5,41,0,0,15,0.0,1.0,2500,9.1
2,2016,Ben Koyack,JAX,10,HOU,3,3,35,0,0,3,1.0,1.0,5700,6.5
3,2016,Ben Koyack,JAX,11,DET,1,0,0,0,0,27,0.0,0.0,2500,0.0
4,2016,Ben Koyack,JAX,12,BUF,2,2,23,0,0,6,0.0,0.0,0,4.3
5,2016,Ben Koyack,JAX,13,DEN,3,1,4,0,0,19,1.0,1.0,2500,1.4
6,2016,Ben Koyack,JAX,14,MIN,2,2,19,0,0,11,1.0,1.0,2500,3.9
7,2016,Ben Koyack,JAX,15,HOU,2,1,2,0,0,3,0.0,0.0,2500,1.2
8,2016,Ben Koyack,JAX,16,TEN,2,2,12,0,0,15,1.0,1.0,0,3.2
9,2016,Ben Koyack,JAX,17,IND,4,3,25,1,0,23,0.0,0.0,2800,11.5
10,2017,Ben Koyack,JAX,2,TEN,1,0,0,0,0,19,1.0,1.0,2500,0.0
11,2017,Ben Koyack,JAX,6,LAR,1,1,21,0,0,20,1.0,1.0,2500,3.1
12,2017,Ben Koyack,JAX,7,IND,1,1,7,0,0,18,0.0,0.0,2500,1.7
13,2017,Ben Koyack,JAX,10,LAC,1,0,0,0,0,8,1.0,1.0,2700,0.0
14,2017,Ben Koyack,JAX,15,HOU,1,1,0,0,0,27,1.0,1.0,2500,1.0
15,2017,Ben Koyack,JAX,16,SF,2,2,10,0,0,15,0.0,1.0,2500,5.0
1,2015,Benjamin Watson,NO,1,ARI,5,3,19,0,0,20,0.0,1.0,2600,4.9
2,2015,Benjamin Watson,NO,2,TB,4,2,12,0,0,21,1.0,0.0,2500,3.2
3,2015,Benjamin Watson,NO,3,CAR,4,4,42,0,1,12,0.0,1.0,3500,7.2
4,2015,Benjamin Watson,NO,4,DAL,3,3,30,0,0,1,1.0,0.0,2500,6.0
5,2015,Benjamin Watson,NO,5,PHI,5,3,36,1,0,11,0.0,1.0,2500,12.6
6,2015,Benjamin Watson,NO,6,ATL,12,10,127,1,0,29,1.0,0.0,0,31.7
7,2015,Benjamin Watson,NO,7,IND,5,4,59,0,0,23,0.0,0.0,2500,9.9
8,2015,Benjamin Watson,NO,8,NYG,10,9,147,1,0,31,1.0,0.0,2500,32.7
9,2015,Benjamin Watson,NO,9,TEN,5,5,60,0,0,24,1.0,0.0,2500,11.0
10,2015,Benjamin Watson,NO,10,WAS,5,3,19,0,0,16,0.0,1.0,2500,4.9
11,2015,Benjamin Watson,NO,12,HOU,9,4,53,0,0,10,0.0,0.0,0,9.3
12,2015,Benjamin Watson,NO,13,CAR,8,4,38,1,0,12,1.0,0.0,0,13.8
13,2015,Benjamin Watson,NO,14,TB,11,7,70,0,0,21,0.0,1.0,2500,14.0
14,2015,Benjamin Watson,NO,15,DET,12,6,49,1,0,27,1.0,0.0,2500,16.9
15,2015,Benjamin Watson,NO,16,JAX,2,1,5,0,0,28,1.0,0.0,2500,1.5
16,2015,Benjamin Watson,NO,17,ATL,10,6,59,1,0,29,0.0,0.0,2500,17.9
17,2017,Benjamin Watson,BAL,1,CIN,1,0,0,0,0,23,0.0,0.0,2500,0.0
18,2017,Benjamin Watson,BAL,2,CLE,8,8,91,0,0,30,1.0,1.0,3900,17.1
19,2017,Benjamin Watson,BAL,3,JAX,3,3,12,1,0,11,0.0,1.0,4400,10.2
20,2017,Benjamin Watson,BAL,4,PIT,6,5,43,0,0,4,1.0,1.0,3200,9.3
21,2017,Benjamin Watson,BAL,5,OAK,4,2,2,0,0,26,0.0,1.0,2500,2.2
