PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
14768,Kyle Miller,LAC,3,MIN,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,15,away,turf,2015
14856,Zach Ertz,PHI,3,NYJ,2,2,100.0,30,0,21,15.0,15.0,0,0,0.0,0,0,0,5.0,2500,3,away,turf,2015
14918,Tyler Eifert,CIN,3,BAL,3,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,4,away,grass,2015
15048,Travis Kelce,KC,3,GB,10,6,60.0,80,0,38,8.0,13.3,0,0,0.0,0,0,0,16.0,3000,14,away,grass,2015
15072,Mychal Rivera,OAK,3,CLE,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,6,away,grass,2015
15082,Gavin Escobar,DAL,3,ATL,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,29,away,turf,2015
15100,Jordan Reed,WAS,3,NYG,9,6,66.7,96,0,26,10.7,16.0,0,0,0.0,0,0,0,15.6,2700,31,away,turf,2015
15129,Michael Williams,NE,3,JAX,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3100,28,away,grass,2015
15247,Darren Fells,ARI,3,SF,2,1,50.0,13,0,13,6.5,13.0,0,0,0.0,0,0,0,2.3,2500,9,away,grass,2015
15305,Demetrius Harris,KC,3,GB,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3800,14,away,grass,2015
15367,Tim Wright,DET,3,DEN,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,19,away,grass,2015
15371,MarQueis Gray,BUF,3,MIA,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3300,7,away,grass,2015
15378,Levine Toilolo,ATL,3,DAL,1,1,100.0,6,0,6,6.0,6.0,0,0,0.0,0,0,0,3.6,2500,1,away,turf,2015
15602,Jack Doyle,IND,3,TEN,3,3,100.0,32,0,19,10.7,10.7,0,0,0.0,0,0,0,6.2,2700,24,away,grass,2015
15630,Cooper Helfet,SEA,3,CHI,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,13,away,grass,2015
15640,Derek Carrier,WAS,3,NYG,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3300,31,away,turf,2015
15757,Jake Stoneburner,MIA,3,BUF,1,1,100.0,13,0,13,13.0,13.0,0,0,0.0,0,0,0,2.3,3000,8,away,turf,2015
15782,Larry Donnell,NYG,3,WAS,6,3,50.0,32,0,22,5.3,10.7,0,0,0.0,0,0,0,6.2,3300,16,away,grass,2015
15866,Josh Hill,NO,3,CAR,1,1,100.0,10,0,10,10.0,10.0,0,0,0.0,0,0,0,2.0,2500,12,away,grass,2015
15937,Phillip Supernaw,TEN,3,IND,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,23,away,turf,2015
15965,Trey Burton,PHI,3,NYJ,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,3,away,turf,2015
16083,Crockett Gillmore,BAL,3,CIN,3,3,100.0,40,0,19,13.3,13.3,0,0,0.0,0,0,0,7.0,2500,17,away,turf,2015
16086,James Hurst,BAL,3,CIN,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3500,17,away,turf,2015
16111,Ryan Hewitt,CIN,3,BAL,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,4,away,grass,2015
16200,CJ Fiedorowicz,HOU,3,TB,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,21,away,grass,2015
16451,Eric Ebron,DET,3,DEN,5,4,80.0,61,0,29,12.2,15.2,0,0,0.0,0,0,0,10.1,4800,19,away,grass,2015
16491,Richard Rodgers,GB,3,KC,4,2,50.0,15,0,8,3.8,7.5,0,0,0.0,0,0,0,3.5,5000,2,away,grass,2015
16576,Nic Jacobs,JAX,3,NE,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,5,away,turf,2015
