,,Week,games_avg,tar_avg,rec_avg,yds_avg,td_avg,fum_avg,def_rk_avg,games_ma,tar_ma,rec_ma,yds_ma,td_ma,fum_ma,def_rk_ma,games_car,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car,year,def_rk,h/a_1,surface_0,salary,points
Anthony Fasano_reframed,1941,8.0,25.5,2.5,1.5,12.5,0.5,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.33,12.33,0.33,0.0,19.0,2017,24,0.0,1.0,2600,3.1
Anthony Fasano_reframed,1942,9.0,26.0,2.33,1.67,12.0,0.33,0.0,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2.0,1.5,12.0,0.25,0.0,20.25,2017,26,1.0,1.0,4400,2.9
Anthony Fasano_reframed,1943,10.0,26.5,2.25,1.75,11.25,0.25,0.0,22.75,26.5,2.25,1.75,11.25,0.25,0.0,22.75,26.0,2.0,1.6,11.4,0.2,0.0,21.4,2017,29,1.0,1.0,2500,3.9
Anthony Fasano_reframed,1944,14.0,27.0,2.0,1.6,14.8,0.2,0.0,24.0,27.0,2.0,1.6,14.8,0.2,0.0,24.0,26.5,1.83,1.5,14.33,0.17,0.0,22.67,2017,10,1.0,1.0,4100,2.7
Anthony Fasano_reframed,1945,15.0,27.5,1.83,1.5,15.17,0.17,0.0,21.67,27.5,1.8333333333333333,1.5,15.166666666666666,0.16666666666666666,0.0,21.666666666666668,27.0,1.71,1.43,14.71,0.14,0.0,20.86,2017,25,0.0,0.0,2500,3.5
Anthony Fasano_reframed,1946,16.0,28.0,1.86,1.57,15.14,0.14,0.0,22.14,28.0,1.8571428571428572,1.5714285714285714,15.142857142857142,0.14285714285714285,0.0,22.142857142857142,27.5,1.75,1.5,14.75,0.12,0.0,21.38,2017,25,1.0,1.0,3000,1.1
Antonio Gates_reframed,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,25,0.0,1.0,2500,30.2
Antonio Gates_reframed,20,6.0,1.0,11.0,9.0,92.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,9.0,92.0,2.0,0.0,25.0,2015,14,0.0,1.0,2500,18.5
Antonio Gates_reframed,21,7.0,1.5,13.5,9.0,93.5,1.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,13.5,9.0,93.5,1.0,0.0,19.5,2015,4,0.0,1.0,2500,9.6
Antonio Gates_reframed,22,9.0,2.0,10.67,7.33,81.0,0.67,0.0,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.67,7.33,81.0,0.67,0.0,14.33,2015,13,0.0,1.0,2500,12.9
Antonio Gates_reframed,23,10.0,2.5,10.75,7.0,78.0,0.5,0.0,14.0,2.5,10.75,7.0,78.0,0.5,0.0,14.0,2.5,10.75,7.0,78.0,0.5,0.0,14.0,2015,2,0.0,1.0,2500,1.6
Antonio Gates_reframed,24,12.0,3.0,9.2,5.8,63.6,0.4,0.0,11.6,3.0,9.2,5.8,63.6,0.4,0.0,11.6,3.0,9.2,5.8,63.6,0.4,0.0,11.6,2015,28,0.0,1.0,0,21.3
Antonio Gates_reframed,25,13.0,3.5,8.67,5.5,61.83,0.67,0.0,14.33,3.5,8.666666666666666,5.5,61.833333333333336,0.6666666666666666,0.0,14.333333333333334,3.5,8.67,5.5,61.83,0.67,0.0,14.33,2015,19,0.0,1.0,2500,11.0
Antonio Gates_reframed,26,14.0,4.0,8.71,5.57,60.14,0.57,0.0,15.0,4.0,8.714285714285714,5.571428571428571,60.142857142857146,0.5714285714285714,0.0,15.0,4.0,8.71,5.57,60.14,0.57,0.0,15.0,2015,2,0.0,1.0,3500,13.6
Antonio Gates_reframed,27,15.0,4.5,8.62,5.62,62.12,0.5,0.0,13.38,4.5,8.625,5.625,62.125,0.5,0.0,13.375,4.5,8.62,5.62,62.12,0.5,0.0,13.38,2015,7,0.0,1.0,2500,14.8
Antonio Gates_reframed,28,16.0,5.0,8.67,5.67,65.0,0.44,0.0,12.67,5.0,8.666666666666666,5.666666666666667,65.0,0.4444444444444444,0.0,12.666666666666666,5.0,8.67,5.67,65.0,0.44,0.0,12.67,2015,30,0.0,1.0,2500,3.1
Antonio Gates_reframed,29,17.0,5.5,8.0,5.3,59.6,0.4,0.0,14.4,5.5,8.0,5.3,59.6,0.4,0.0,14.4,5.5,8.0,5.3,59.6,0.4,0.0,14.4,2015,19,0.0,1.0,2700,12.4
Antonio Gates_reframed,1006,18.0,6.0,7.73,5.09,57.27,0.45,0.0,14.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.73,5.09,57.27,0.45,0.0,14.82,2016,5,0.0,1.0,4200,5.0
Antonio Gates_reframed,1007,2.0,12.0,4.0,3.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.5,3.0,27.0,0.5,0.0,12.0,2016,16,0.0,1.0,3000,10.5
Antonio Gates_reframed,1008,3.0,12.5,4.5,3.0,17.5,0.5,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.67,3.0,23.0,0.67,0.0,13.33,2016,24,0.0,1.0,2500,12.0
Antonio Gates_reframed,1009,6.0,13.0,4.67,3.33,21.67,0.67,0.33,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.75,3.25,24.75,0.75,0.25,16.0,2016,19,0.0,1.0,2500,3.6
Antonio Gates_reframed,1010,7.0,13.5,5.0,3.0,20.25,0.5,0.25,16.0,13.5,5.0,3.0,20.25,0.5,0.25,16.0,13.0,5.0,3.0,23.0,0.6,0.2,16.6,2016,26,0.0,0.0,2800,8.8
