year,games,Name,Week,Opponent,Team,tar,rec,yds,yds/rec,yds/tar,td,def_rk,h/a_1,surface_0,points
2012.0,1,Cecil Shorts,1,MIN,JAX,7,4,74,18.5,10.6,1,9,0.0,0.0,13.4
2012.0,1,Charly Martin,1,ARI,SEA,2,1,15,15.0,7.5,0,20,0.0,1.0,1.5
2012.0,1,Chaz Schilens,1,BUF,NYJ,1,1,8,8.0,8.0,0,10,1.0,0.0,0.8
2012.0,1,Chris Givens,1,DET,LAR,1,0,0,0.0,0.0,0,12,0.0,0.0,0.0
2012.0,1,Cole Beasley,1,NYG,DAL,0,0,0,0.0,0.0,0,11,0.0,0.0,0.0
2012.0,1,Courtney Roby,1,WAS,NO,0,0,0,0.0,0.0,0,28,1.0,0.0,0.0
2012.0,1,Damaris Johnson,1,CLE,PHI,3,1,10,10.0,3.3,0,16,0.0,1.0,1.0
2012.0,1,Damian Williams,1,NE,TEN,6,5,33,6.6,5.5,0,3,1.0,1.0,3.3
2012.0,1,Danny Amendola,1,DET,LAR,9,5,70,14.0,7.8,0,12,0.0,0.0,7.2
2012.0,1,Darrius Heyward-Bey,1,LAC,OAK,5,3,43,14.3,8.6,0,13,1.0,1.0,4.3
2012.0,1,David Nelson,1,NYJ,BUF,5,2,31,15.5,6.2,0,21,0.0,0.0,3.1
2012.0,1,Davone Bess,1,HOU,MIA,7,5,45,9.0,6.4,0,31,0.0,0.0,4.5
2012.0,1,DeSean Jackson,1,CLE,PHI,11,4,77,19.2,7.0,0,16,0.0,1.0,8.2
2012.0,1,Demaryius Thomas,1,PIT,DEN,7,5,110,22.0,15.7,1,23,1.0,1.0,17.0
2012.0,1,Deonte Thompson,1,CIN,BAL,2,1,25,25.0,12.5,0,6,1.0,1.0,2.5
2012.0,1,Derek Hagan,1,LAC,OAK,5,4,44,11.0,8.8,0,13,1.0,1.0,4.4
2012.0,1,Devery Henderson,1,WAS,NO,2,1,11,11.0,5.5,0,28,1.0,0.0,1.1
2012.0,1,Devin Aromashodu,1,JAX,MIN,3,3,61,20.3,20.3,0,15,1.0,0.0,6.1
2012.0,1,Devin Hester,1,IND,CHI,2,2,27,13.5,13.5,0,2,1.0,1.0,2.3
2012.0,1,Devon Wylie,1,ATL,KC,0,0,0,0.0,0.0,0,26,1.0,1.0,0.0
2012.0,1,Dez Bryant,1,NYG,DAL,5,4,85,21.2,17.0,0,11,0.0,0.0,8.5
2012.0,1,Domenik Hixon,1,DAL,NYG,5,3,55,18.3,11.0,0,5,1.0,0.0,5.5
2012.0,1,Donald Driver,1,SF,GB,0,0,0,0.0,0.0,0,8,1.0,1.0,0.0
2012.0,1,Donald Jones,1,NYJ,BUF,7,5,41,8.2,5.9,1,21,0.0,0.0,10.1
2012.0,1,Donnie Avery,1,CHI,IND,8,3,37,12.3,4.6,1,24,0.0,1.0,9.7
2012.0,1,Doug Baldwin,1,ARI,SEA,6,2,5,2.5,0.8,0,20,0.0,1.0,0.5
