Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
111,Andre Holmes,BUF,WR,1,BAL,1.79,1.3,50,14.5,0.1,0,7,14,0,0,0,0,0,0,2,2.05
113,Shelton Gibson,PHI,WR,1,ATL,1.64,1.2,50,14.3,0.1,0,7,14,0,0,0,0,0,0,2,2.03
114,Rashard Higgins,CLE,WR,1,PIT,1.9,1.1,50,14.1,0.1,0,7,14,0,0.1,0,0,0,0,2,2.02
115,Chris Moore,BAL,WR,1,BUF,1.58,1.2,50,13.4,0.1,0,6.5,13,0.2,0.6,0,0,0,0,2,2
116,Tavon Austin,DAL,WR,1,CAR,1.51,1,50,8.7,0,0,4.5,9,1.54,7.4,3.5,0,0,0,1.6,1.61
117,J'mon Moore,GB,WR,1,CHI,1.28,0.9,100,9.7,0.1,0,10,10,0,0.2,0,0,0,0,1.6,1.59
118,Daesean Hamilton,DEN,WR,1,SEA,1.47,1,100,11.5,0.1,0,12,12,0,0.2,0,0,0.1,0.1,1.6,1.57
119,Charone Peake,NYJ,WR,1,DET,1.2,0.8,100,9.5,0.1,0,10,10,0,0,0,0,0,0,1.6,1.55
120,Sammie Coates,HOU,WR,1,NE,1.25,0.8,100,13.2,0,0,13,13,0.1,0.1,0,0,0,0,1.3,1.33
121,Andre Roberts,NYJ,WR,1,DET,0.94,0.6,100,6.5,0.1,0,6,6,0,0,0,0,0,0,1.2,1.25
122,Chad Hansen,NE,WR,1,HOU,0.67,0.4,0,6.1,0.1,0,6,0,0,0,0,0,0,0,1.2,1.21
123,Jarius Wright,CAR,WR,1,DAL,1.44,0.9,100,11.5,0,0,12,12,0,0,0,0,0,0,1.2,1.15
124,Josh Reynolds,LAR,WR,1,OAK,1.31,0.8,100,10.4,0,0,10,10,0.1,0.6,0,0,0,0,1.1,1.1
125,Austin Carr,NO,WR,1,TB,1.61,0.9,50,10.7,0,0,5.5,11,0,0.1,0,0,0,0,1.1,1.08
126,Josh Bellamy,CHI,WR,1,GB,0.78,0.6,100,9.7,0,0,10,10,0,0.3,0,0,0,0,1,1
127,Tajae Sharpe,TEN,WR,1,MIA,1.31,0.8,100,9.8,0,0,10,10,0,0,0,0,0,0,1,0.98
128,Jordan Lasley,BAL,WR,1,BUF,1.36,0.8,100,9.3,0,0,9,9,0,0.1,0,0,0,0,0.9,0.94
129,Demarcus Robinson,KC,WR,1,LAC,1.23,0.7,100,8.5,0,0,8,8,0,0,0,0,0,0,0.8,0.85
130,Kendrick Bourne,SF,WR,1,MIN,1.05,0.6,100,7.6,0,0,8,8,0,0,0,0,0,0,0.8,0.76
131,Deonte Thompson,DAL,WR,1,CAR,0.76,0.5,0,6.9,0,0,7,0,0,0,0,0,0,0,0.7,0.69
