PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,year,salary,def_rk,h/a,surface
17155,Chandler Worthy,HOU,3,TB,1,1,100.0,-1,0,-1,-1.0,-1.0,0,0,0.0,0,1,0,0.9,2015,3100,21,home,turf
17167,Cameron Meredith,CHI,3,SEA,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3400,1,home,grass
17257,Lucky Whitehead,DAL,3,ATL,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,12,home,turf
17269,Deandrew White,SF,3,ARI,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,2015,3200,4,away,grass
17271,Bradley Marquez,LAR,3,PIT,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,23,away,grass
204,Roddy White,ATL,4,HOU,4,2,50.0,8,0,4,2.0,4.0,0,0,0.0,0,0,0,2.8,2015,3000,3,home,turf
1986,Jason Avant,KC,4,CIN,5,4,80.0,43,0,13,8.6,10.8,0,0,0.0,0,0,0,8.3,2015,3000,9,away,turf
2429,Andre Johnson,IND,4,JAX,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,29,home,turf
2950,Steve Johnson,LAC,4,CLE,8,4,50.0,32,0,13,4.0,8.0,0,0,0.0,0,0,0,7.2,2015,3000,24,away,grass
3330,Miles Austin,PHI,4,WAS,3,2,66.7,51,1,39,17.0,25.5,0,0,0.0,0,0,0,13.1,2015,3000,27,home,grass
3519,Vincent Jackson,TB,4,CAR,15,10,66.7,147,1,23,9.8,14.7,0,0,0.0,0,0,0,33.7,2015,3000,10,away,grass
3601,Eric Weems,ATL,4,HOU,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,3,home,turf
3989,Andre Caldwell,DEN,4,MIN,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,null,11,home,grass
4358,Steve Smith,BAL,4,PIT,7,4,57.1,24,0,11,3.4,6.0,0,0,0.0,0,0,0,6.4,2015,3000,23,home,grass
5094,Marques Colston,NO,4,DAL,5,4,80.0,19,0,7,3.8,4.8,0,0,0.0,0,0,0,5.9,2015,3000,8,away,turf
5571,Larry Fitzgerald,ARI,4,LAR,9,7,77.8,99,0,22,11.0,14.1,0,0,0.0,0,1,1,15.9,2015,4000,16,home,grass
6029,Calvin Johnson,DET,4,SEA,11,7,63.6,56,0,15,5.1,8.0,0,0,0.0,0,1,1,11.6,2015,3000,1,home,turf
6302,James Jones,GB,4,SF,6,5,83.3,98,0,38,16.3,19.6,0,0,0.0,0,0,0,14.8,2015,4500,25,away,grass
6597,Greg Jennings,MIA,4,NYJ,7,3,42.9,15,0,9,2.1,5.0,0,0,0.0,0,0,0,4.5,2015,4400,6,home,grass
6767,Pierre Garcon,WAS,4,PHI,8,7,87.5,55,1,14,6.9,7.9,0,0,0.0,0,0,0,18.5,2015,3000,30,home,grass
6768,Lance Moore,DET,4,SEA,3,2,66.7,21,0,17,7.0,10.5,0,0,0.0,0,0,0,4.1,2015,4900,1,home,turf
7203,Dwayne Bowe,CLE,4,LAC,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,14,home,grass
