Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
218,19306,Keon Hatcher,OAK,WR,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18197,Alex Erickson,CIN,WR,2,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19006,Josh Malone,CIN,WR,2,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20585,Janarion Grant,BAL,WR,2,CIN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,16868,Justin Hardy,ATL,WR,2,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,13264,Andre Holmes,BUF,WR,2,LAC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16946,Geremy Davis,LAC,WR,2,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20310,JJ Jones,LAC,WR,2,BUF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218,19100,Stacy Coley,MIN,WR,2,GB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19491,Robert Tonyan Jr.,GB,WR,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19779,Brandon Zylstra,MIN,WR,2,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,17070,Darius Jennings,TEN,WR,2,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20295,Vyncint Smith,HOU,WR,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19501,Justin Hardee,NO,WR,2,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18401,Tommylee Lewis,NO,WR,2,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19276,Austin Carr,NO,WR,2,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19969,Damion Ratley,CLE,WR,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20477,Derrick Willies,CLE,WR,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,11565,Andre Roberts,NYJ,WR,2,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16979,Neal Sterling,NYJ,WR,2,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18157,Charone Peake,NYJ,WR,2,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18602,Tanner McEvoy,MIA,WR,2,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,8771,Darrius Heyward-Bey,PIT,WR,2,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16305,De'Anthony Thomas,KC,WR,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,19361,Marcus Kemp,KC,WR,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,8529,Mike Wallace,PHI,WR,2,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16529,Freddie Martino,TB,WR,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
