PassingAttempts,PassingRating,PlayerID,comp,comp%,def_rk,int,points,ru_att,ru_td,ru_yds,ru_yds/att,salary,td,yds,yds/att,h/a_encoded,surface_encoded,passingattempts_car,passingrating_car,playerid_car,comp_car,comp%_car,def_rk_car,int_car,points_car,ru_att_car,ru_td_car,ru_yds_car,ru_yds/att_car,salary_car,td_car,yds_car,yds/att_car,h/a_encoded_car,surface_encoded_car,year
39,108.07,7242,30,76.9,8,0,19.68,2,0,2,1.0,6600,1,312,8.0,0,1,50.4,114.54,8690.4,33.8,80.82,21.4,0.8,24.25,1.2,0.0,0.4,0.2,7540.0,1.8,390.2,9.3,0.0,0.4,2015
44,77.37,7242,28,63.6,26,1,12.8,4,0,-4,-1.0,5100,1,255,5.8,0,1,49.33,108.35,8449.0,32.83,77.95,22.17,0.83,22.34,1.67,0.0,-0.33,0.0,7133.33,1.67,367.67,8.72,0.0,0.5,2015
50,131.67,7242,39,78.0,31,2,49.3,1,0,1,1.0,6700,7,505,10.1,0,1,49.43,111.68,8276.57,33.71,77.96,23.43,1.0,26.19,1.57,0.0,-0.14,0.14,7071.43,2.43,387.29,8.91,0.0,0.57,2015
39,118.22,7242,28,71.8,27,1,35.38,3,1,-1,-0.3,6900,3,387,9.9,0,0,48.12,112.5,8147.25,33.0,77.19,23.88,1.0,27.34,1.75,0.12,-0.25,0.09,7050.0,2.5,387.25,9.04,0.0,0.5,2015
28,83.78,7242,19,67.9,21,2,14.36,0,0,0,0.0,5000,2,209,7.5,0,0,45.89,109.31,8046.67,31.44,76.16,23.56,1.11,25.9,1.56,0.11,-0.22,0.08,6822.22,2.44,367.44,8.87,0.0,0.44,2015
44,61.55,7242,25,56.8,4,1,8.12,0,0,0,0.0,5300,0,228,5.2,0,1,45.7,104.53,7966.2,30.8,74.22,21.6,1.1,24.12,1.4,0.1,-0.2,0.07,6670.0,2.2,353.5,8.5,0.0,0.5,2015
42,91.57,7242,24,57.1,6,1,23.48,1,0,12,12.0,5100,3,282,6.7,0,0,45.36,103.35,7900.36,30.18,72.66,20.18,1.09,24.06,1.36,0.09,0.91,1.15,6527.27,2.27,347.0,8.34,0.0,0.45,2015
41,113.06,7242,31,75.6,22,0,23.48,3,0,0,0.0,6100,2,312,7.6,0,0,45.0,104.16,7845.5,30.25,72.91,20.33,1.0,24.01,1.5,0.08,0.83,1.06,6491.67,2.25,344.08,8.28,0.0,0.42,2015
52,103.12,7242,34,65.4,23,0,29.74,1,0,11,11.0,5600,3,341,6.6,0,1,45.54,104.08,7799.08,30.54,72.33,20.54,0.92,24.45,1.46,0.08,1.62,1.82,6423.08,2.31,343.85,8.15,0.0,0.46,2015
36,135.42,7242,25,69.4,29,0,31.18,3,0,-3,-1.0,5600,3,412,11.4,0,0,44.86,106.32,7759.29,30.14,72.12,21.14,0.86,24.93,1.57,0.07,1.29,1.62,6364.29,2.36,348.71,8.38,0.0,0.43,2015
42,105.56,7242,32,76.2,8,0,19.42,3,0,-5,-1.7,5100,1,323,7.7,0,1,44.67,106.27,7724.8,30.27,72.39,20.27,0.8,24.57,1.67,0.07,0.87,1.4,6280.0,2.27,347.0,8.33,0.0,0.47,2015
8,79.16,9474,2,50.0,46,0,0.2,6,0,-6,-2.0,13600,0,20,5.0,0,2,8.0,79.16,9474.0,2.0,50.0,46.0,0.0,0.2,6.0,0.0,-6.0,-2.0,13600.0,0.0,20.0,5.0,0.0,2.0,2015
0,0.0,4737,0,0.0,16,0,0.0,0,0,0,0.0,7400,0,0,0.0,0,0,4.0,39.58,7105.5,1.0,25.0,31.0,0.0,0.1,3.0,0.0,-3.0,-1.0,10500.0,0.0,10.0,2.5,0.0,1.0,2015
1,91.67,4737,1,100.0,10,0,-0.06,3,0,-3,-1.0,8000,0,6,6.0,0,0,3.0,56.94,6316.0,1.0,50.0,24.0,0.0,0.05,3.0,0.0,-3.0,-1.0,9666.67,0.0,8.67,3.67,0.0,0.67,2015
1,83.33,4737,1,100.0,7,0,-0.04,2,0,-2,-1.0,5000,0,4,4.0,1,0,2.5,63.54,5921.25,1.0,62.5,19.75,0.0,0.02,2.75,0.0,-2.75,-1.0,8500.0,0.0,7.5,3.75,0.25,0.5,2015
18,18.98,4737,8,44.4,2,2,1.36,0,0,0,0.0,7400,0,84,4.7,1,0,5.6,54.63,5684.4,2.4,58.88,16.2,0.4,0.29,2.2,0.0,-2.2,-0.8,8280.0,0.0,22.8,3.94,0.4,0.4,2015
