Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
253,Rhett Ellison,NYG,TE,1,0,0,0,0,0,1,16,0,0,0,0,0,2.6,2.6
255,Torrey Smith,CAR,WR,1,0,0,0,0,0,1,15,0,0,0,0,0,2.5,2.5
255,Josh Hill,NO,TE,1,0,0,0,0,0,1,15,0,0,0,0,0,2.5,2.5
255,Chris Conley,KC,WR,1,0,0,0,0,0,1,15,0,0,0,0,0,2.5,2.5
255,Jeff Heuerman,DEN,TE,1,0,0,0,0,0,1,15,0,0,0,0,0,2.5,2.5
255,Trey Burton,CHI,TE,1,0,0,0,0,0,1,15,0,0,0,0,0,2.5,2.5
260,Andre Holmes,BUF,WR,1,0,0,0,0,0,1,14,0,0,0,0,0,2.4,2.4
260,Donte Moncrief,JAX,WR,1,0,0,0,0,0,1,14,0,0,0,0,0,2.4,2.4
260,Ian Thomas,CAR,TE,1,0,0,0,0,0,2,4,0,0,0,0,0,2.4,2.4
263,Erik Swoope,IND,TE,1,0,0,0,0,0,1,13,0,0,0,0,0,2.3,2.3
263,Lance Kendricks,GB,TE,1,0,0,0,0,0,1,13,0,0,0,0,0,2.3,2.3
265,Darren Fells,CLE,TE,1,0,0,0,0,0,1,12,0,0,0,0,0,2.2,2.2
