Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Jerick McKinnon,SF,16510,MIN,1,,32,0,0.0,4.8,2,,,3.0,0.0,20.0,6.7,3000,1.0,2,0,8,,2015
Devonta Freeman,PHI,16524,ATL,1,,28,0,1.0,7.7,3,,,10.0,0.0,18.0,1.8,3000,0.0,4,0,29,,2015
Roosevelt Nix,NE,16534,PIT,1,,12,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Charles Sims,TEN,16609,TB,1,,4,0,1.0,5.5,2,,,5.0,0.0,12.0,2.4,3500,1.0,5,0,23,,2015
Carlos Hyde,MIN,16668,SF,1,,9,0,1.0,35.2,2,,,26.0,2.0,168.0,6.5,3000,1.0,2,0,14,,2015
Melvin Gordon,DET,16776,LAC,1,,17,1,0.0,8.7,3,,,14.0,0.0,51.0,3.6,3000,0.0,3,0,16,,2015
TJ Yeldon,CAR,16797,JAX,1,,19,0,1.0,9.7,3,,,12.0,0.0,51.0,4.2,3300,1.0,4,0,16,,2015
Ameer Abdullah,LAC,16815,DET,1,,26,0,0.0,19.4,4,,,7.0,1.0,50.0,7.1,4300,1.0,4,0,44,,2015
Tevin Coleman,PHI,16834,ATL,1,,28,0,1.0,8.0,0,,,20.0,0.0,80.0,4.0,3800,0.0,2,0,0,,2015
Duke Johnson,NYJ,16838,CLE,1,,5,0,0.0,2.2,0,,,7.0,0.0,22.0,3.1,5300,0.0,0,0,0,,2015
David Johnson,NO,16847,ARI,1,,29,0,1.0,12.5,1,,,0.0,0.0,0.0,0.0,3000,1.0,2,1,55,,2015
Ty Montgomery,CHI,16855,GB,1,,22,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,5500,1.0,0,0,0,,2015
Matt Jones,MIA,16856,WAS,1,,31,0,1.0,2.8,0,,,6.0,0.0,28.0,4.7,5500,1.0,0,0,0,,2015
Jeremy Langford,GB,16867,CHI,1,,13,0,1.0,0.1,0,,,1.0,0.0,1.0,1.0,4000,1.0,0,0,0,,2015
Jalston Fowler,TB,16869,TEN,1,,11,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,4800,1.0,0,0,0,,2015
Javorius Allen,DEN,16886,BAL,1,,14,0,0.0,4.4,1,,,9.0,0.0,30.0,3.3,3000,1.0,1,0,4,,2015
Karlos Williams,IND,16915,BUF,1,,18,0,1.0,11.5,0,,,6.0,1.0,55.0,9.2,3800,0.0,0,0,0,,2015
Michael Burton,LAC,16928,DET,1,,26,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Cameron Artis-Payne,JAX,16934,CAR,1,,27,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3700,1.0,0,0,0,,2015
