PlayerID,Name,Team,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,h/a,surface,year,def_rk
14719,Jonathan Grimes,HOU,2,CAR,2,7,3.5,0,7,6,40,0,0,0,10.7,3000,away,grass,2015,19
14731,Lance Dunbar,DAL,2,PHI,1,8,8.0,0,5,3,45,0,0,0,8.3,5500,away,grass,2015,28
14786,Patrick DiMarco,ATL,2,NYG,0,0,0.0,0,1,1,19,0,0,0,2.9,3000,away,turf,2015,24
14891,Tommy Bohanon,NYJ,2,IND,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,turf,2015,18
14901,Kyle Juszczyk,BAL,2,OAK,0,0,0.0,0,1,1,11,0,0,0,2.1,3000,away,grass,2015,21
14916,Giovani Bernard,CIN,2,LAC,20,123,6.2,0,3,3,16,0,0,0,19.9,5600,home,turf,2015,26
14917,Rex Burkhead,CIN,2,LAC,0,0,0.0,0,2,1,8,0,0,0,1.8,5000,home,turf,2015,26
15010,Kerwynn Williams,ARI,2,CHI,1,3,3.0,0,0,0,0,0,0,0,0.3,3000,away,grass,2015,22
15018,Denard Robinson,JAX,2,MIA,1,9,9.0,0,0,0,0,0,0,0,0.9,5600,home,grass,2015,31
15020,CJ Anderson,DEN,2,KC,12,27,2.2,0,1,1,2,0,0,0,3.9,3000,away,grass,2015,3
15045,Knile Davis,KC,2,DEN,3,9,3.0,1,1,0,0,0,0,0,6.9,3000,home,grass,2015,14
15071,Latavius Murray,OAK,2,BAL,15,65,4.3,1,3,3,22,0,0,0,17.7,3000,home,grass,2015,6
15085,Joseph Randle,DAL,2,PHI,18,51,2.8,0,1,1,14,0,0,0,7.5,3100,away,grass,2015,28
15102,Chris Thompson,WAS,2,LAR,0,0,0.0,0,1,1,10,0,0,0,2.0,3000,home,grass,2015,23
15126,Theo Riddick,DET,2,MIN,1,5,5.0,0,6,5,41,0,1,1,8.6,3000,away,turf,2015,9
15138,Eddie Lacy,GB,2,SEA,3,9,3.0,0,0,0,0,0,0,0,0.9,3000,home,grass,2015,1
15191,Austin Johnson,NO,2,TB,1,1,1.0,1,1,0,0,0,0,0,6.1,3000,home,turf,2015,11
15207,Benjamin Cunningham,LAR,2,WAS,1,0,0.0,0,6,4,27,0,0,0,6.7,3000,away,grass,2015,20
15221,Zac Stacy,NYJ,2,IND,0,0,0.0,0,0,0,0,0,0,0,0.0,null,away,turf,2015,18
15230,Stepfan Taylor,ARI,2,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,22
15555,Zach Line,MIN,2,DET,1,1,1.0,1,0,0,0,0,0,0,6.1,3100,home,turf,2015,17
15616,Fozzy Whittaker,CAR,2,HOU,1,3,3.0,0,0,0,0,0,0,0,0.3,4500,home,grass,2015,7
15631,Derrick Coleman,SEA,2,GB,0,0,0.0,0,1,1,0,0,0,0,1.0,3000,away,grass,2015,13
15645,Khiry Robinson,NO,2,TB,5,48,9.6,0,1,1,9,0,0,0,6.7,3000,home,turf,2015,11
16008,Orleans Darkwa,NYG,2,ATL,0,0,0.0,0,0,0,0,0,0,0,0.0,6700,home,turf,2015,30
16031,Damien Williams,MIA,2,JAX,2,5,2.5,0,4,3,15,1,0,0,11.0,3000,away,grass,2015,27
16099,Lorenzo Taliaferro,BAL,2,OAK,7,34,4.9,1,3,3,12,0,0,0,13.6,5800,away,grass,2015,21
16112,Jeremy Hill,CIN,2,LAC,10,39,3.9,0,1,1,2,0,2,2,3.1,5600,home,turf,2015,26
16120,Nikita Whitlock,NYG,2,ATL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,turf,2015,30
16127,Isaiah Crowell,CLE,2,TEN,15,72,4.8,1,0,0,0,0,0,0,13.2,3400,home,grass,2015,4
16142,Terrance West,TEN,2,CLE,3,10,3.3,0,0,0,0,0,1,1,0.0,7200,away,grass,2015,16
16144,Dri Archer,PIT,2,SF,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,32
16178,Bishop Sankey,TEN,2,CLE,12,42,3.5,0,2,0,0,0,0,0,4.2,3000,away,grass,2015,16
16189,Alfred Blue,HOU,2,CAR,5,6,1.2,0,1,1,4,0,0,0,2.0,3000,away,grass,2015,19
16210,Jay Prosch,HOU,2,CAR,1,4,4.0,0,0,0,0,0,0,0,0.4,4400,away,grass,2015,19
16287,Juwan Thompson,DEN,2,KC,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,3
16307,Charcandrick West,KC,2,DEN,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,14
16345,Branden Oliver,LAC,2,CIN,1,2,2.0,0,0,0,0,0,0,0,0.2,3000,away,turf,2015,15
16378,Keith Smith,DAL,2,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,28
16402,Andre Williams,NYG,2,ATL,6,43,7.2,0,0,0,0,0,0,0,4.3,3400,home,turf,2015,30
