games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
19,2017,Alan Cross,TB,14,DET,0,0,0,0,0,31,1.0,1.0,0.0
20,2017,Alan Cross,TB,15,ATL,0,0,0,2,23,14,1.0,1.0,3.3
21,2017,Alan Cross,TB,16,CAR,0,0,0,0,0,3,0.0,1.0,0.0
22,2017,Alan Cross,TB,17,NO,0,0,0,1,11,17,1.0,1.0,2.1
23,2018,Alan Cross,TB,1,NO,0,0,0,1,0,6,0.0,0.0,0.0
24,2018,Alan Cross,TB,2,PHI,0,0,0,0,0,3,1.0,1.0,0.0
25,2018,Alan Cross,TB,3,PIT,0,0,0,0,0,4,1.0,1.0,0.0
26,2018,Alan Cross,TB,3,PIT,0,0,0,0,0,3,1.0,1.0,0.0
27,2018,Alan Cross,TB,4,CHI,0,0,0,0,0,1,0.0,1.0,0.0
28,2018,Alan Cross,TB,4,CHI,0,0,0,0,0,2,0.0,1.0,0.0
29,2018,Alan Cross,TB,6,ATL,0,0,0,0,0,30,0.0,0.0,0.0
30,2018,Alan Cross,TB,7,CLE,0,0,0,2,6,24,1.0,1.0,1.6
31,2018,Alan Cross,TB,8,CIN,0,0,0,0,0,10,0.0,0.0,0.0
1,2017,Alex Armah,CAR,3,NO,0,0,0,0,0,17,1.0,1.0,0.0
2,2017,Alex Armah,CAR,4,NE,0,0,0,0,0,16,0.0,0.0,0.0
3,2017,Alex Armah,CAR,5,DET,0,0,0,0,0,31,0.0,0.0,0.0
4,2017,Alex Armah,CAR,6,PHI,0,0,0,0,0,2,1.0,1.0,0.0
5,2017,Alex Armah,CAR,7,CHI,0,0,0,0,0,11,0.0,1.0,0.0
6,2017,Alex Armah,CAR,9,ATL,0,0,0,0,0,14,1.0,1.0,0.0
7,2017,Alex Armah,CAR,10,MIA,0,0,0,0,0,25,1.0,1.0,0.0
8,2017,Alex Armah,CAR,13,NO,0,0,0,0,0,17,0.0,0.0,0.0
9,2017,Alex Armah,CAR,17,ATL,0,0,0,0,0,14,0.0,0.0,0.0
10,2018,Alex Armah,CAR,1,DAL,1,1,1,0,0,16,1.0,1.0,6.1
11,2018,Alex Armah,CAR,2,ATL,1,4,0,0,0,30,0.0,0.0,0.4
12,2018,Alex Armah,CAR,3,CIN,1,1,0,0,0,21,1.0,1.0,0.1
13,2018,Alex Armah,CAR,3,CIN,1,1,0,0,0,24,1.0,1.0,0.1
14,2018,Alex Armah,CAR,5,NYG,1,4,0,0,0,19,1.0,1.0,0.4
15,2018,Alex Armah,CAR,6,WAS,0,0,0,0,0,15,0.0,1.0,0.0
16,2018,Alex Armah,CAR,7,PHI,0,0,0,0,0,8,0.0,1.0,0.0
17,2018,Alex Armah,CAR,8,BAL,0,0,0,0,0,11,1.0,1.0,0.0
1,2016,Alex Collins,SEA,2,LAR,2,0,0,0,0,16,0.0,1.0,0.0
2,2016,Alex Collins,SEA,3,SF,4,12,0,2,19,32,1.0,0.0,5.1
3,2016,Alex Collins,SEA,4,NYJ,1,1,0,0,0,19,0.0,0.0,0.1
4,2016,Alex Collins,SEA,6,ATL,1,2,1,1,9,29,1.0,0.0,8.1
5,2016,Alex Collins,SEA,7,ARI,1,2,0,0,0,1,0.0,1.0,0.2
6,2016,Alex Collins,SEA,9,BUF,0,0,0,0,0,24,1.0,0.0,0.0
7,2016,Alex Collins,SEA,10,NE,1,2,0,0,0,7,0.0,0.0,0.2
8,2016,Alex Collins,SEA,12,TB,0,0,0,0,0,22,0.0,1.0,0.0
9,2016,Alex Collins,SEA,14,GB,7,23,0,3,33,10,0.0,1.0,7.6
10,2016,Alex Collins,SEA,16,ARI,7,28,0,4,19,1,1.0,0.0,8.7
11,2016,Alex Collins,SEA,17,SF,7,55,0,1,4,32,0.0,1.0,6.9
12,2017,Alex Collins,BAL,2,CLE,7,42,0,0,0,13,1.0,1.0,3.2
13,2017,Alex Collins,BAL,3,JAX,9,82,0,0,0,10,0.0,1.0,8.2
14,2017,Alex Collins,BAL,4,PIT,9,82,0,2,0,18,1.0,1.0,7.2
