Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
196,17030,Tyler Varga,IND,RB,2,NYJ,2,1,3000,0.7
202,16867,Jeremy Langford,CHI,RB,1,GB,null,null,3000,0.6
202,12285,Anthony Dixon,BUF,RB,1,IND,null,null,null,0.6
202,733,Jerome Felton,BUF,FB,1,IND,null,null,3000,0.6
202,15191,Austin Johnson,NO,FB,1,ARI,null,null,3000,0.6
202,16869,Jalston Fowler,TEN,RB,1,TB,null,null,3000,0.6
202,16307,Charcandrick West,KC,RB,2,DEN,1,8,3000,0.6
202,15555,Zach Line,MIN,FB,2,DET,32,24,3000,0.6
202,14421,Isaiah Pead,LAR,RB,2,WAS,8,3,3000,0.6
202,1589,John Kuhn,GB,FB,2,SEA,17,8,3000,0.6
202,14891,Tommy Bohanon,NYJ,FB,2,IND,16,32,3000,0.6
212,17030,Tyler Varga,IND,RB,1,BUF,null,null,3000,0.5
212,15256,Christine Michael,SEA,RB,1,LAR,null,null,3000,0.5
212,13063,Taiwan Jones,OAK,RB,1,CIN,null,null,3000,0.5
212,16287,Juwan Thompson,DEN,RB,1,BAL,null,null,3000,0.5
212,16210,Jay Prosch,HOU,FB,2,CAR,3,10,3000,0.5
212,15256,Christine Michael,DAL,RB,2,PHI,23,11,3000,0.5
212,15631,Derrick Coleman,SEA,FB,2,GB,20,23,3000,0.5
219,15102,Chris Thompson,WAS,RB,1,MIA,null,null,3000,0.4
219,14687,Bernard Pierce,JAX,RB,1,CAR,null,null,3000,0.4
219,15230,Stepfan Taylor,ARI,RB,1,NO,null,null,3000,0.4
219,16928,Michael Burton,DET,FB,1,LAC,null,null,3000,0.4
219,8604,Donald Brown,LAC,RB,1,DET,null,null,3000,0.4
219,13527,Tyler Clutts,DAL,FB,1,NYG,null,null,3000,0.4
219,17254,Jarryd Hayne,SF,RB,1,MIN,null,null,3000,0.4
219,14538,Jorvorskie Lane,TB,FB,2,NO,31,26,3000,0.4
219,16989,Marcus Murphy,NO,RB,2,TB,29,22,3000,0.4
219,16928,Michael Burton,DET,FB,2,MIN,13,31,3000,0.4
219,16867,Jeremy Langford,CHI,RB,2,ARI,18,19,3000,0.4
219,17089,Terron Ward,ATL,RB,2,NYG,27,21,3000,0.4
219,17050,Thomas Rawls,SEA,RB,2,GB,20,23,3000,0.4
232,16307,Charcandrick West,KC,RB,1,HOU,null,null,3000,0.3
232,14917,Rex Burkhead,CIN,RB,1,OAK,null,null,3000,0.3
232,17089,Terron Ward,ATL,RB,1,PHI,null,null,3000,0.3
232,16887,Mike Davis,SF,RB,1,MIN,null,null,3200,0.3
232,17023,Zach Zenner,DET,RB,2,MIN,13,31,3000,0.3
232,13527,Tyler Clutts,DAL,FB,2,PHI,23,11,3000,0.3
238,15202,Mike James,TB,RB,1,TEN,null,null,3000,0.2
238,14538,Jorvorskie Lane,TB,FB,1,TEN,null,null,3000,0.2
238,16008,Orleans Darkwa,NYG,RB,1,DAL,null,null,3000,0.2
238,15202,Mike James,TB,RB,2,NO,31,26,3000,0.2
238,11737,Cedric Peerman,CIN,RB,2,LAC,14,29,3000,0.2
238,16008,Orleans Darkwa,NYG,RB,2,ATL,19,32,3000,0.2
244,16427,Ka'Deem Carey,CHI,RB,1,GB,null,null,3000,0.1
244,12774,Stevan Ridley,NYJ,RB,1,CLE,null,null,3400,0.1
244,13158,Shaun Draughn,CLE,RB,1,NYJ,null,null,3000,0.1
244,13102,Jordan Todman,CAR,RB,1,JAX,null,null,3000,0.1
244,17050,Thomas Rawls,SEA,RB,1,LAR,null,null,3000,0.1
244,11737,Cedric Peerman,CIN,RB,1,OAK,null,null,3000,0.1
244,15185,Kenjon Barner,PHI,RB,1,ATL,null,null,3000,0.1
244,14501,LaMichael James,MIA,RB,2,JAX,null,null,3000,0.1
244,14789,Jamize Olawale,OAK,FB,2,BAL,5,5,3000,0.1
253,17234,Alonzo Harris,GB,RB,1,CHI,null,null,3000,0.0
253,12649,Will Tukuafu,SEA,FB,1,LAR,null,null,3000,0.0
253,2262,Tim Hightower,NO,RB,1,ARI,null,null,3000,0.0
253,14821,Edwin Baker,NO,RB,1,ARI,null,null,3000,0.0
253,14789,Jamize Olawale,OAK,FB,1,CIN,null,null,3000,0.0
253,13653,Richie Brockel,CAR,FB,2,HOU,24,20,2500,0.0
253,11792,Arian Foster,HOU,RB,2,CAR,3,10,7400,0.0
253,16934,Cameron Artis-Payne,CAR,RB,2,HOU,24,20,3000,0.0
253,4640,Reggie Bush,SF,RB,2,PIT,30,12,3800,0.0
253,14821,Edwin Baker,NO,RB,2,TB,null,null,null,0.0
253,2262,Tim Hightower,NO,RB,2,TB,null,null,null,0.0
253,16056,James White,NE,RB,2,BUF,11,2,3300,0.0
