Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
118,Royce Freeman,DEN,RB,6,LAR,9,22,2.4,0,0,0,0,0,0,0,2.2,2.2
118,Justin Jackson,LAC,RB,6,CLE,3,4,1.3,0,1,1,8,0,0,0,2.2,2.2
120,Mike Boone,MIN,RB,6,ARI,1,20,20,0,0,0,0,0,0,0,2,2
120,Jamaal Charles,JAX,RB,6,DAL,5,5,1,0,2,1,5,0,0,0,2,2
122,Chris Ivory,BUF,RB,6,HOU,6,5,0.8,0,1,1,4,0,0,0,1.9,1.9
123,Doug Martin,OAK,RB,6,SEA,0,0,0,0,1,1,8,0,0,0,1.8,1.8
124,De'Lance Turner,BAL,RB,5,CLE,0,0,0,0,1,1,7,0,0,0,1.7,1.7
124,CJ Ham,MIN,RB,5,PHI,0,0,0,0,1,1,7,0,0,0,1.7,1.7
126,Kenjon Barner,NE,RB,6,KC,3,16,5.3,0,0,0,0,0,0,0,1.6,1.6
127,Jamize Olawale,DAL,FB,6,JAX,0,0,0,0,1,1,3,0,0,0,1.3,1.3
127,Robert Turbin,IND,RB,6,NYJ,4,10,2.5,0,1,1,3,0,1,1,1.3,1.3
129,Rod Smith,DAL,RB,5,HOU,3,10,3.3,0,0,0,0,0,0,0,1,1
129,Samaje Perine,WAS,RB,6,CAR,1,3,3,0,1,1,-3,0,0,0,1,1
131,CJ Anderson,CAR,RB,5,NYG,4,9,2.2,0,0,0,0,0,0,0,0.9,0.9
131,Raheem Mostert,SF,RB,5,ARI,5,11,2.2,0,1,1,-2,0,1,1,0.9,0.9
133,Benjamin Cunningham,CHI,RB,6,MIA,3,8,2.7,0,0,0,0,0,0,0,0.8,0.8
133,Corey Grant,JAX,RB,5,KC,1,8,8,0,0,0,0,0,0,0,0.8,0.8
133,Stevan Ridley,PIT,RB,5,ATL,5,8,1.6,0,0,0,0,0,0,0,0.8,0.8
133,Anthony Sherman,KC,FB,6,NE,0,0,0,0,1,1,-2,0,0,0,0.8,0.8
