Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
153,Marcus Murphy,BUF,RB,1,BAL,4,23,3000,2.37
154,Malcolm Brown,LAR,RB,1,OAK,25,17,3100,2.31
155,Raheem Mostert,SF,RB,1,MIN,1,1,3000,2.18
156,Rob Kelley,WAS,RB,2,IND,19,22,3500,1.92
157,Stevan Ridley,PIT,RB,1,CLE,24,15,3500,1.91
158,Jonathan Williams,NO,RB,2,CLE,18,28,3800,1.85
159,Stevan Ridley,PIT,RB,2,KC,30,31,3500,1.8
160,Wendell Smallwood,PHI,RB,2,TB,31,30,3000,1.52
161,Benjamin Cunningham,CHI,RB,1,GB,30,22,3400,1.47
162,Jonathan Williams,NO,RB,1,TB,27,28,4000,1.45
163,TJ Logan,ARI,RB,2,LAR,12,20,3500,1.44
164,Ito Smith,ATL,RB,1,PHI,5,2,3000,1.37
165,Wendell Smallwood,PHI,RB,1,ATL,10,7,3000,1.32
166,Roosevelt Nix,PIT,RB,2,KC,30,31,3000,1.24
167,Benjamin Cunningham,CHI,RB,2,SEA,31,27,3400,1.23
168,Tyler Ervin,HOU,RB,1,NE,20,14,3000,1.13
169,Damien Williams,KC,RB,1,LAC,3,19,3000,1.07
170,Tommy Bohanon,JAX,FB,2,NE,14,21,3200,0.94
171,Damien Williams,KC,RB,2,PIT,15,13,3000,0.91
172,Trenton Cannon,NYJ,RB,2,MIA,6,18,3000,0.9
173,Brandon Wilds,JAX,RB,2,NE,14,21,null,0.89
174,James Develin,NE,RB,2,JAX,8,19,3200,0.88
175,Mike Davis,SEA,RB,2,CHI,25,1,3000,0.84
175,Anthony Sherman,KC,FB,2,PIT,15,13,3000,0.84
177,Trenton Cannon,NYJ,RB,1,DET,18,27,3100,0.81
178,Zach Line,NO,FB,2,CLE,18,28,3000,0.79
179,Tra Carson,CIN,RB,2,BAL,1,1,3000,0.76
180,Brian Hill,ATL,RB,2,CAR,2,9,null,0.73
181,Tyler Ervin,HOU,RB,2,TEN,16,8,3000,0.71
182,CJ Ham,MIN,RB,2,GB,7,10,3000,0.63
183,Shaun Wilson,TB,RB,2,PHI,10,11,3000,0.62
183,Anthony Sherman,KC,FB,1,LAC,3,19,3000,0.62
185,Ricky Ortiz,ATL,RB,2,CAR,2,9,3000,0.61
186,Patrick DiMarco,BUF,FB,1,BAL,4,23,3000,0.6
187,Jamize Olawale,DAL,FB,1,CAR,15,3,3000,0.58
188,Justin Davis,LAR,RB,2,ARI,23,32,3000,0.54
188,Andy Janovich,DEN,FB,2,OAK,21,23,3200,0.54
190,Derek Watt,LAC,FB,1,KC,21,12,3000,0.53
191,Derek Watt,LAC,FB,2,BUF,29,26,3000,0.52
191,Brandon Bolden,MIA,RB,2,NYJ,4,1,3000,0.52
193,Alex Armah,CAR,RB,2,ATL,3,27,3000,0.5
194,Patrick DiMarco,BUF,FB,2,LAC,27,16,3000,0.49
195,Zach Line,NO,FB,1,TB,27,28,3000,0.45
196,Senorise Perry,MIA,RB,2,NYJ,4,1,3000,0.43
196,Keith Smith,OAK,FB,1,LAR,14,31,3100,0.43
198,David Fluellen,TEN,RB,1,MIA,22,25,3000,0.41
198,Andy Janovich,DEN,FB,1,SEA,8,10,3000,0.41
198,Tommy Bohanon,JAX,FB,1,NYG,32,21,3000,0.41
201,Raheem Mostert,SF,RB,2,DET,25,29,3000,0.39
202,Jamize Olawale,DAL,FB,2,NYG,4,21,3000,0.38
203,Roosevelt Nix,PIT,RB,1,CLE,24,15,3000,0.36
203,Keith Smith,OAK,FB,2,DEN,20,5,3200,0.36
205,David Fluellen,TEN,RB,2,HOU,24,24,3000,0.35
205,Senorise Perry,MIA,RB,1,TEN,19,8,3000,0.35
207,Brandon Bolden,MIA,RB,1,TEN,19,8,3000,0.34
208,Tre Madden,SEA,RB,2,CHI,25,1,3000,0.33
209,CJ Ham,MIN,RB,1,SF,28,24,3000,0.27
209,Michael Burton,CHI,FB,1,GB,30,22,3000,0.27
211,James Develin,NE,RB,1,HOU,31,13,3000,0.23
212,Taiwan Jones,BUF,RB,1,BAL,4,23,3000,0.22
213,Tre Madden,SEA,RB,1,DEN,9,6,3000,0.21
214,Alex Armah,CAR,RB,1,DAL,12,5,3000,0.19
214,Derrick Coleman,ARI,FB,1,WAS,23,30,3000,0.19
216,Taiwan Jones,BUF,RB,2,LAC,27,16,3000,0.12
217,Joe Kerridge,GB,FB,2,MIN,11,7,null,0.04
218,Dan Vitale,CLE,FB,1,PIT,6,18,3000,0.03
218,Derrick Coleman,ARI,FB,2,LAR,12,20,3000,0.03
220,Ricky Ortiz,ATL,RB,1,PHI,5,2,3000,0
220,Robert Turbin,IND,RB,1,CIN,17,29,3000,0
220,Josh Ferguson,IND,RB,1,CIN,17,29,3000,0
220,Tra Carson,CIN,RB,1,IND,29,20,3000,0
220,Jerick McKinnon,SF,RB,1,MIN,1,1,5800,0
220,D'Onta Foreman,HOU,RB,1,NE,20,14,4300,0
220,Alan Cross,TB,FB,1,NO,13,16,2500,0
220,Shaun Wilson,TB,RB,1,NO,13,16,3000,0
220,Paul Perkins,NYG,RB,1,JAX,2,11,null,0
220,Shane Smith,NYG,FB,1,JAX,2,11,2600,0
220,Mike Davis,SEA,RB,1,DEN,9,6,3200,0
220,JD McKissic,SEA,RB,1,DEN,9,6,3400,0
220,DJ Foster,ARI,RB,1,WAS,23,30,3000,0
220,Byron Marshall,WAS,RB,1,ARI,11,4,3000,0
220,Samaje Perine,WAS,RB,1,ARI,11,4,3900,0
220,TJ Logan,ARI,RB,1,WAS,23,30,3500,0
220,Fozzy Whittaker,CAR,RB,1,DAL,12,5,null,0
220,Cameron Artis-Payne,CAR,RB,1,DAL,12,5,3100,0
220,Elijah Hood,CAR,RB,1,DAL,12,5,3000,0
220,Devante Mays,GB,RB,1,CHI,7,9,3000,0
220,Ameer Abdullah,DET,RB,1,NYJ,26,26,3900,0
220,Zach Zenner,DET,RB,1,NYJ,26,26,3100,0
220,Elijah McGuire,NYJ,RB,1,DET,18,27,3100,0
220,Nick Bawden,DET,FB,1,NYJ,26,26,null,0
220,Deandre Washington,OAK,RB,1,LAR,14,31,3100,0
220,Justin Davis,LAR,RB,1,OAK,25,17,3100,0
220,Chris Warren III,OAK,RB,1,LAR,14,31,3100,0
220,Kenneth Dixon,BAL,RB,2,CIN,21,7,3700,0
220,Mark Walton,CIN,RB,2,BAL,1,1,3200,0
220,Fozzy Whittaker,CAR,RB,2,ATL,3,27,null,0
220,Devonta Freeman,ATL,RB,2,CAR,2,9,6000,0
220,Elijah Hood,CAR,RB,2,ATL,3,27,3000,0
220,Justin Jackson,LAC,RB,2,BUF,29,26,null,0
220,Mike Boone,MIN,RB,2,GB,7,10,3000,0
220,Roc Thomas,MIN,RB,2,GB,7,10,3000,0
220,D'Onta Foreman,HOU,RB,2,TEN,16,8,4000,0
220,Dan Vitale,CLE,FB,2,NO,32,3,null,0
220,Elijah McGuire,NYJ,RB,2,MIA,6,18,3000,0
220,Kalen Ballage,MIA,RB,2,NYJ,4,1,3300,0
220,Darrel Williams,KC,RB,2,PIT,15,13,3000,0
220,Trey Edmunds,PIT,RB,2,KC,30,31,null,0
220,Le'Veon Bell,PIT,RB,2,KC,30,31,9000,0
220,Darren Sproles,PHI,RB,2,TB,31,30,4700,0
220,Alan Cross,TB,FB,2,PHI,10,11,2500,0
220,Ronald Jones II,TB,RB,2,PHI,10,11,3900,0
220,Robert Turbin,IND,RB,2,WAS,1,15,3000,0
220,Samaje Perine,WAS,RB,2,IND,19,22,3500,0
220,Kapri Bibbs,WAS,RB,2,IND,19,22,null,0
220,Christine Michael,IND,RB,2,WAS,1,15,3200,0
220,Josh Ferguson,IND,RB,2,WAS,1,15,null,0
220,Byron Marshall,WAS,RB,2,IND,19,22,3000,0
220,DJ Foster,ARI,RB,2,LAR,12,20,null,0
220,John Kelly,LAR,RB,2,ARI,23,32,4500,0
220,Elijhaa Penny,ARI,RB,2,LAR,12,20,null,0
220,Jerick McKinnon,SF,RB,2,DET,25,29,null,0
220,Ameer Abdullah,DET,RB,2,SF,17,6,3600,0
220,Nick Bawden,DET,FB,2,SF,17,6,null,0
220,Deandre Washington,OAK,RB,2,DEN,20,5,3200,0
220,Chris Warren III,OAK,RB,2,DEN,20,5,null,0
220,Kenjon Barner,NE,RB,2,JAX,8,19,3200,0
220,Jeremy Hill,NE,RB,2,JAX,8,19,3600,0
220,Leonard Fournette,JAX,RB,2,NE,14,21,7300,0
220,Shane Smith,NYG,FB,2,DAL,3,17,2500,0
220,Bo Scarbrough,DAL,RB,2,NYG,4,21,null,0
220,Paul Perkins,NYG,RB,2,DAL,3,17,null,0
220,Taquan Mizzell,CHI,RB,2,SEA,31,27,null,0
220,Michael Burton,CHI,FB,2,SEA,31,27,3000,0
220,JD McKissic,SEA,RB,2,CHI,25,1,3400,0
